Sample ID,Samp Number,Sample Units,Analyte Name,Elem,Wavelength,Int (Corr),RSD (Corr Int),SD (Corr Int),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Calib Units,Samp Units,Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
C2,2, ,K 766.490,K,766.493,4358.712208,3.564271672,155.3563445,0.07499223241,0.07499223241,0.075,0.075,0.2167443038,0.0001625413921,0.0001625413921,mg/L,mg/L,1,3/31/2022,10:17:40 AM,2,3/31/2022,10:17:45 AM,3,3/31/2022,10:17:49 AM
C2,2, ,Na 589.592,Na,589.595,338601.9725,0.9530470588,3227.03614,0.1716265322,0.1716265322,0.172,0.172,0.4664800598,0.0008006035498,0.0008006035498,mg/L,mg/L,1,3/31/2022,10:17:57 AM,2,3/31/2022,10:18:01 AM,3,3/31/2022,10:18:04 AM
C2,2, ,Fe 238.204,Fe,238.204,5530.066662,2.956170443,163.4781961,0.02711852225,0.02711852225,0.027,0.027,1.122444437,0.0003043903443,0.0003043903443,mg/L,mg/L,1,3/31/2022,10:18:10 AM,2,3/31/2022,10:18:19 AM,3,3/31/2022,10:18:26 AM
C2,2, ,Zn 206.200,Zn,206.201,214.5627334,8.151642131,17.49038617,0.006797272975,0.006797272975,0.007,0.007,2.472937834,0.0001680923351,0.0001680923351,mg/L,mg/L,1,3/31/2022,10:18:34 AM,2,3/31/2022,10:18:44 AM,3,3/31/2022,10:18:54 AM
C3,3, ,Cd 228.802,Cd,228.801,2586.517635,0.6809119696,17.61190817,0.006842271861,0.006842271861,0.007,0.007,0.7639252495,5.226984239e-005,5.226984239e-005,mg/L,mg/L,1,3/31/2022,10:21:16 AM,2,3/31/2022,10:21:24 AM,3,3/31/2022,10:21:32 AM
C3,3, ,K 766.490,K,766.493,2840.197408,5.057345914,143.6386075,0.07340348809,0.07340348809,0.073,0.073,0.2047337633,0.0001502817236,0.0001502817236,mg/L,mg/L,1,3/31/2022,10:21:46 AM,2,3/31/2022,10:21:50 AM,3,3/31/2022,10:21:55 AM
C3,3, ,Na 589.592,Na,589.595,288098.4424,0.6508894436,1875.202349,0.1590969838,0.1590969838,0.159,0.159,0.2924151532,0.0004652236888,0.0004652236888,mg/L,mg/L,1,3/31/2022,10:22:03 AM,2,3/31/2022,10:22:07 AM,3,3/31/2022,10:22:09 AM
C3,3, ,Fe 238.204,Fe,238.204,2910.733243,6.051317547,176.1377115,0.02224142047,0.02224142047,0.022,0.022,1.474554619,0.0003279618928,0.0003279618928,mg/L,mg/L,1,3/31/2022,10:22:16 AM,2,3/31/2022,10:22:25 AM,3,3/31/2022,10:22:33 AM
C3,3, ,Zn 206.200,Zn,206.201,159.4242572,2.469156971,3.93643516,0.006267361565,0.006267361565,0.006,0.006,0.603624508,3.783133041e-005,3.783133041e-005,mg/L,mg/L,1,3/31/2022,10:22:42 AM,2,3/31/2022,10:22:52 AM,3,3/31/2022,10:23:01 AM
SKT_01,4, ,Cd 228.802,Cd,228.801,2610.932988,2.051975589,53.57570757,0.006914733439,0.006914733439,0.007,0.007,2.299520315,0.0001590057002,0.0001590057002,mg/L,mg/L,1,3/31/2022,10:25:22 AM,2,3/31/2022,10:25:31 AM,3,3/31/2022,10:25:38 AM
SKT_01,4, ,K 766.490,K,766.493,83670224.13,0.09856022008,82465.55704,87.61030516,87.61030516,87.61,87.61,0.09848098524,0.0862794917,0.0862794917,mg/L,mg/L,1,3/31/2022,10:25:52 AM,2,3/31/2022,10:26:01 AM,3,3/31/2022,10:26:09 AM
SKT_01,4, ,Na 589.592,Na,589.595,18143047.37,0.7043275948,127786.4892,4.588776377,4.588776377,4.589,4.589,0.6908785778,0.03170287297,0.03170287297,mg/L,mg/L,1,3/31/2022,10:26:20 AM,2,3/31/2022,10:26:25 AM,3,3/31/2022,10:26:29 AM
SKT_01,4, ,Fe 238.204,Fe,238.204,97264.21226,0.197437356,192.0358891,0.1979241026,0.1979241026,0.198,0.198,0.180656982,0.0003575637104,0.0003575637104,mg/L,mg/L,1,3/31/2022,10:26:38 AM,2,3/31/2022,10:26:46 AM,3,3/31/2022,10:26:52 AM
SKT_01,4, ,Zn 206.200,Zn,206.201,30474.2059,0.1632519382,49.74973179,0.2976092671,0.2976092671,0.298,0.298,0.1606544669,0.0004781225815,0.0004781225815,mg/L,mg/L,1,3/31/2022,10:27:01 AM,2,3/31/2022,10:27:08 AM,3,3/31/2022,10:27:16 AM
SKT_02,5, ,Cd 228.802,Cd,228.801,2341.668035,2.049457985,47.99150253,0.00611559024,0.00611559024,0.006,0.006,2.329006746,0.0001424325092,0.0001424325092,mg/L,mg/L,1,3/31/2022,10:29:35 AM,2,3/31/2022,10:29:43 AM,3,3/31/2022,10:29:51 AM
