Cap,Salt,Cadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,ConcCor,CorConc,ugElementPermgDW,ugElement
57,0,1,0,1,root,0.00161,0.7,SKT_30,K,0.98226904,0.982,0.87968698,0.8893432320000001,4734.746576752441,7.622941988571431
58,0,1,0,2,old leaf,0.04048,0.5,SKT_31,K,40.90189842,40.9,40.79931636,40.808972612000005,12097.521525296444,489.70767134400006
59,0,1,0,2,young leaf,0.02221,0.5,SKT_32,K,20.46364949,20.46,20.36106743,20.370723682,11006.24422260243,244.448684184
60,0,1,0,2,root,0.00136,0.7,SKT_33,K,0.576018235,0.576,0.473436175,0.48309242700000005,3044.700170168067,4.140792231428572
61,0,1,0,3,old leaf,0.06928,0.4,SKT_34,K,51.41162009,51.41,51.30903803,51.318694282,11111.149166137415,769.78041423
62,0,1,0,3,young leaf,0.02692,0.5,SKT_35,K,31.18197728,31.18,31.07939522,31.089051472,13858.418189598813,373.06861766400004
63,0,1,0,3,root,0.00205,0.7,SKT_36,K,0.999891758,1,0.897309698,0.90696595,3792.19212543554,7.773993857142858
64,0,1,1,1,old leaf,0.0158,0.7,SKT_37,K,27.68378221,27.68,27.58120015,27.590856402,14967.91486546112,236.49305487428572
65,0,1,1,1,young leaf,0.0042,0.7,SKT_38,K,6.404442253,6.404,6.3018601930000004,6.311516445,12880.64580612245,54.098712385714286
66,0,1,1,1,root,0.00109,0.7,SKT_39,K,0.534953939,0.535,0.432371879,0.442028131,3475.974817824377,3.7888125514285713
67,0,1,1,2,old leaf,0.02225,0.5,SKT_40,K,23.40693558,23.41,23.30435352,23.314009772,12573.84796692135,279.768117264
68,0,1,1,2,young leaf,0.01885,0.7,SKT_41,K,25.30705469,25.31,25.20447263,25.214128882,11465.310594316032,216.12110470285717
69,0,1,1,2,root,0.00414,0.7,SKT_42,K,1.170769433,1.171,1.068187373,1.077843625,2231.56030020704,9.238659642857145
70,0,1,1,3,old leaf,0.05336,0.5,SKT_43,K,40.03762649,40.04,39.93504443,39.944700682000004,8983.066120389807,479.33640818400005
71,0,1,1,3,young leaf,0.01974,0.7,SKT_44,K,28.38188121,28.38,28.27929915,28.288955402,12283.523839339992,242.47676058857144
72,0,1,1,3,root,0.00194,0.7,SKT_45,K,0.718054232,0.718,0.615472172,0.6251284239999999,2761.9812547864503,5.358243634285714
73,0,1,2,1,old leaf,0.01725,0.7,SKT_46,K,29.64866295,29.65,29.54608089,29.555737141999998,14686.080567453415,253.33488978857142
74,0,1,2,1,young leaf,0.01065,0.7,SKT_47,K,23.89515429,23.9,23.79257223,23.802228482,19156.723124346077,204.01910127428573
75,0,1,2,1,root,9e-4,0.7,SKT_48,K,0.271022535,0.271,0.168440475,0.178096727,1696.1593047619049,1.5265433742857144
76,0,1,2,2,old leaf,0.06388,0.4,SKT_49,K,50.94803393,50.95,50.84545187,50.855108122000004,11941.55638431434,762.8266218300001
77,0,1,2,2,young leaf,0.02182,0.5,SKT_50,K,18.7143799,18.71,18.61179784,18.621454092,10240.946338405134,223.457449104
78,0,1,2,2,root,0.00432,0.7,SKT_51,K,5.142560718,5.143,5.039978658,5.04963491,10019.116884920637,43.28258494285715
79,0,1,2,3,old leaf,0.09999,0.4,SKT_52,K,49.60523582,49.61,49.50265376,49.512310012,7427.589260726072,742.68465018
80,0,1,2,3,young leaf,0.04808,0.5,SKT_53,K,48.06472847,48.06,47.96214641,47.971802662,11972.995672712146,575.661631944
81,0,1,2,3,root,0.00432,0.7,SKT_54,K,1.410699637,1.411,1.308117577,1.317773829,2614.6306130952385,11.29520424857143
1,1,0,0,1,old leaf,0.10951,0.4,SKT_01,Fe,0.197924103,0.198,0.170745855,0.170874151,23.405280476668793,2.5631122649999996
2,1,0,0,1,young leaf,0.026,0.5,SKT_02,Fe,0.094855086,0.095,0.067676838,0.067805134,31.294677230769235,0.8136616080000001
3,1,0,0,1,root,0.0029,0.7,SKT_03,Fe,2.048383736,2.048,2.021205488,2.021333784,5974.385568472907,17.32571814857143
4,1,0,0,2,old leaf,0.04946,0.5,SKT_04,Fe,0.103601682,0.104,0.076423434,0.07655173,18.573003639304492,0.91862076
5,1,0,0,2,young leaf,0.01384,0.7,SKT_05,Fe,0.062187006,0.062,0.035008758,0.035137054,21.761181255161027,0.3011747485714286
6,1,0,0,2,root,8.7e-4,0.7,SKT_06,Fe,1.103418605,1.103,1.076240357,1.076368653,10604.617270935962,9.226017025714286
7,1,0,0,3,old leaf,0.06652,0.4,SKT_07,Fe,0.112276163,0.112,0.085097915,0.085226211,19.21817746542393,1.2783931649999998
8,1,0,0,3,young leaf,0.04741,0.5,SKT_08,Fe,0.12384937,0.124,0.096671122,0.096799418,24.501012782113474,1.1615930159999999
9,1,0,0,3,root,0.00169,0.7,SKT_09,Fe,1.323411354,1.323,1.296233106,1.296361402,6574.952165680474,11.111669160000002
10,1,0,1,1,old leaf,0.06685,0.4,SKT_10,Fe,0.098948901,0.099,0.071770653,0.071898949,16.132898055347795,1.0784842350000001
11,1,0,1,1,young leaf,0.0075,0.7,SKT_11,Fe,0.05712658,0.057,0.029948332,0.030076628000000005,34.373289142857146,0.2577996685714286
12,1,0,1,1,root,0.00146,0.7,SKT_12,Fe,1.307073742,1.307,1.279895494,1.28002379,7514.816771037183,10.971632485714286
13,1,0,1,2,old leaf,0.01357,0.7,SKT_13,Fe,0.062631413,0.063,0.035453165,0.035581460999999995,22.4748674597326,0.3049839514285714
14,1,0,1,2,young leaf,0.00244,0.7,SKT_14,Fe,0.037249279,0.037,0.010071031,0.010199327000000005,35.82901756440283,0.0874228028571429
15,1,0,1,2,root,8.6e-4,0.7,SKT_15,Fe,1.813194486,1.813,1.786016238,1.786144534,17802.104990033225,15.309810291428573
16,1,0,1,3,old leaf,0.03447,0.5,SKT_16,Fe,0.100243544,0.1,0.073065296,0.073193592,25.480797911227153,0.878323104
17,1,0,1,3,young leaf,0.01089,0.7,SKT_17,Fe,0.107704707,0.108,0.080526459,0.080654755,63.48268791814246,0.6913264714285714
18,1,0,1,3,root,0.0102,0.7,SKT_18,Fe,13.74116224,13.74,13.71398399,13.714112287999999,11524.464107563024,117.54953389714287
19,1,0,2,1,old leaf,0.03178,0.5,SKT_19,Fe,0.081497696,0.081,0.054319448,0.05444774399999999,20.55924883574575,0.6533729279999999
20,1,0,2,1,young leaf,0.00796,0.7,SKT_20,Fe,0.058187901,0.058,0.031009653,0.031137949,33.52973689877962,0.26689670571428575
21,1,0,2,1,root,0.00145,0.7,SKT_21,Fe,0.902816001,0.903,0.875729375,0.875766049,5176.942161576355,7.506566134285714
22,1,0,2,2,old leaf,0.01486,0.7,SKT_22,Fe,0.057550642,0.058,0.030464016,0.03050069,17.59316862141896,0.26143448571428574
23,1,0,2,2,young leaf,0.00285,0.7,SKT_23,Fe,0.051913398,0.052,0.024826772,0.024863446,74.77728120300753,0.21311525142857146
24,1,0,2,2,root,0.00329,0.7,SKT_24,Fe,1.51474325,1.515,1.487656624,1.487693298,3875.8835379939214,12.75165684
25,1,0,2,3,old leaf,0.03215,0.5,SKT_25,Fe,0.113021721,0.113,0.085935095,0.085971769,32.088996205287714,1.031661228
26,1,0,2,3,young leaf,0.0097,0.7,SKT_26,Fe,0.080485604,0.08,0.053398978,0.053435652,47.21854374079529,0.45801987428571433
27,1,0,2,3,root,0.0043,0.7,SKT_27,Fe,3.574119027,3.574,3.547032401,3.547069075,7070.569584717608,30.40344921428572
55,0,1,0,1,old leaf,0.01027,0.7,SKT_28,Fe,0.041221951,0.041,0.014135325,0.014171999000000001,11.828069828905273,0.12147427714285715
56,0,1,0,1,young leaf,0.01377,0.7,SKT_29,Fe,0.059644906,0.06,0.03255828,0.032594953999999995,20.289420479302834,0.27938532
57,0,1,0,1,root,0.00161,0.7,SKT_30,Fe,0.672635647,0.673,0.645549021,0.645585695,3437.0134605146404,5.533591671428572
58,0,1,0,2,old leaf,0.04048,0.5,SKT_31,Fe,0.084951761,0.085,0.057865135,0.057901809,17.164567885375494,0.694821708
59,0,1,0,2,young leaf,0.02221,0.5,SKT_32,Fe,0.073362769,0.073,0.046276143,0.04631281699999999,25.0226836560108,0.5557538039999999
60,0,1,0,2,root,0.00136,0.7,SKT_33,Fe,0.905077338,0.905,0.877990712,0.878027386,5533.786046218487,7.5259490228571435
61,0,1,0,3,old leaf,0.06928,0.4,SKT_34,Fe,0.192922462,0.193,0.165835836,0.16587251,35.91350534064665,2.4880876499999998
62,0,1,0,3,young leaf,0.02692,0.5,SKT_35,Fe,0.075241436,0.075,0.04815481,0.04819148399999999,21.482087964338778,0.5782978079999999
63,0,1,0,3,root,0.00205,0.7,SKT_36,Fe,1.48855218,1.489,1.4614655539999999,1.4615022279999998,6110.810709407665,12.527161954285715
64,0,1,1,1,old leaf,0.0158,0.7,SKT_37,Fe,0.061473995,0.061,0.034387369,0.034424043,18.674887703435804,0.2950632257142857
65,0,1,1,1,young leaf,0.0042,0.7,SKT_38,Fe,0.062124589,0.062,0.035037963,0.035074637000000006,71.58089183673471,0.30063974571428576
66,0,1,1,1,root,0.00109,0.7,SKT_39,Fe,0.370955782,0.371,0.343869156,0.34390583,2704.3708781127134,2.9477642571428575
67,0,1,1,2,old leaf,0.02225,0.5,SKT_40,Fe,0.054648588,0.055,0.027561962,0.027598636,14.88465761797753,0.331183632
68,0,1,1,2,young leaf,0.01885,0.7,SKT_41,Fe,0.079800313,0.08,0.052713687,0.052750360999999996,23.986522622205385,0.45214595142857145
69,0,1,1,2,root,0.00414,0.7,SKT_42,Fe,2.275895301,2.276,2.248808675,2.2488453489999998,4655.994511387164,19.275817277142856
70,0,1,1,3,old leaf,0.05336,0.5,SKT_43,Fe,0.170412499,0.17,0.143325873,0.143362547,32.240452848575714,1.720350564
71,0,1,1,3,young leaf,0.01974,0.7,SKT_44,Fe,0.09857259,0.099,0.071485964,0.071522638,31.056290924880592,0.6130511828571429
72,0,1,1,3,root,0.00194,0.7,SKT_45,Fe,1.4234436,1.423,1.396356974,1.3963936479999999,6169.633201767304,11.96908841142857
73,0,1,2,1,old leaf,0.01725,0.7,SKT_46,Fe,0.062565708,0.063,0.035479082,0.035515755999999996,17.64758062111801,0.30442076571428567
74,0,1,2,1,young leaf,0.01065,0.7,SKT_47,Fe,0.054617434,0.055,0.027530808,0.027567482,22.187108249496983,0.23629270285714288
75,0,1,2,1,root,9e-4,0.7,SKT_48,Fe,0.823698789,0.824,0.796612163,0.796648837,7587.131780952382,6.828418602857143
76,0,1,2,2,old leaf,0.06388,0.4,SKT_49,Fe,0.087569848,0.088,0.060483222,0.060519896000000004,14.21099624295554,0.90779844
77,0,1,2,2,young leaf,0.02182,0.5,SKT_50,Fe,0.073480882,0.073,0.046394256,0.046430929999999995,25.534883593033914,0.55717116
78,0,1,2,2,root,0.00432,0.7,SKT_51,Fe,1.057729846,1.058,1.03064322,1.030679894,2044.9997896825396,8.83439909142857
79,0,1,2,3,old leaf,0.09999,0.4,SKT_52,Fe,0.260014652,0.26,0.232928026,0.23296470000000002,34.948199819982,3.4944705000000003
80,0,1,2,3,young leaf,0.04808,0.5,SKT_53,Fe,0.108288181,0.108,0.081201555,0.081238229,20.27576430948419,0.9748587479999999
81,0,1,2,3,root,0.00432,0.7,SKT_54,Fe,2.838381778,2.838,2.811295152,2.811331826,5578.039337301588,24.09712993714286
1,1,0,0,1,old leaf,0.10951,0.4,SKT_01,Zn,0.297609267,0.298,0.290683973,0.29046257600000003,39.785760569810975,4.35693864
2,1,0,0,1,young leaf,0.026,0.5,SKT_02,Zn,0.200093789,0.2,0.193168495,0.19294709799999998,89.05250676923076,2.315365176
3,1,0,0,1,root,0.0029,0.7,SKT_03,Zn,0.136130906,0.136,0.129205612,0.12898421499999999,381.23413300492604,1.1055789857142855
4,1,0,0,2,old leaf,0.04946,0.5,SKT_04,Zn,0.138089845,0.138,0.131164551,0.13094315399999998,31.76946720582288,1.5713178479999996
5,1,0,0,2,young leaf,0.01384,0.7,SKT_05,Zn,0.112295583,0.112,0.105370289,0.10514889200000001,65.12111395540877,0.9012762171428573
6,1,0,0,2,root,8.7e-4,0.7,SKT_06,Zn,0.04412155,0.044,0.037196256,0.036974859,364.2843251231527,0.31692736285714285
7,1,0,0,3,old leaf,0.06652,0.4,SKT_07,Zn,0.724667963,0.725,0.71774266900000006,0.717521272,161.7982423331329,10.76281908
8,1,0,0,3,young leaf,0.04741,0.5,SKT_08,Zn,0.280237571,0.28,0.273312277,0.27309088000000004,69.1223488715461,3.2770905600000004
9,1,0,0,3,root,0.00169,0.7,SKT_09,Zn,0.068471232,0.068,0.061545938,0.06132454100000001,311.02894843617923,0.525638922857143
10,1,0,1,1,old leaf,0.06685,0.4,SKT_10,Zn,0.383007737,0.383,0.376082443,0.37586104600000003,84.3368091249065,5.63791569
11,1,0,1,1,young leaf,0.0075,0.7,SKT_11,Zn,0.068648636,0.069,0.061723342,0.061501945,70.28793714285716,0.5271595285714287
12,1,0,1,1,root,0.00146,0.7,SKT_12,Zn,0.080512551,0.081,0.073587257,0.07336586,430.7193346379649,0.6288502285714287
13,1,0,1,2,old leaf,0.01357,0.7,SKT_13,Zn,0.083206109,0.083,0.076280815,0.076059418,48.04258427202864,0.6519378685714287
14,1,0,1,2,young leaf,0.00244,0.7,SKT_14,Zn,0.022515297,0.023,0.015590003,0.015368606,53.98807728337237,0.13173090857142858
15,1,0,1,2,root,8.6e-4,0.7,SKT_15,Zn,0.03368383,0.034,0.026758536,0.026537138999999998,264.489757475083,0.2274611914285714
16,1,0,1,3,old leaf,0.03447,0.5,SKT_16,Zn,0.242391536,0.242,0.235466242,0.23524484499999998,81.89550739773715,2.8229381399999998
17,1,0,1,3,young leaf,0.01089,0.7,SKT_17,Zn,0.096175068,0.096,0.089249774,0.089028377,70.07349626131446,0.7631003742857144
18,1,0,1,3,root,0.0102,0.7,SKT_18,Zn,0.606311025,0.606,0.599385731,0.599164334,503.49944033613446,5.135694291428572
19,1,0,2,1,old leaf,0.03178,0.5,SKT_19,Zn,0.15827765,0.158,0.151352356,0.15113095899999998,57.06644140969162,1.8135715079999999
20,1,0,2,1,young leaf,0.00796,0.7,SKT_20,Zn,0.076230307,0.076,0.069305013,0.069083616,74.39011055276382,0.59214528
21,1,0,2,1,root,0.00145,0.7,SKT_21,Zn,0.094165964,0.094,0.086924251,0.08701927300000001,514.3996433497539,0.745879482857143
22,1,0,2,2,old leaf,0.01486,0.7,SKT_22,Zn,0.071430113,0.071,0.0641884,0.064283422,37.07945895020189,0.5510007600000001
23,1,0,2,2,young leaf,0.00285,0.7,SKT_23,Zn,0.041800083,0.042,0.03455837,0.034653392000000005,104.22072781954888,0.29702907428571435
24,1,0,2,2,root,0.00329,0.7,SKT_24,Zn,0.030472751,0.03,0.023231038,0.02332606,60.77132435953105,0.19993765714285716
25,1,0,2,3,old leaf,0.03215,0.5,SKT_25,Zn,0.233223797,0.233,0.225982084,0.226077106,84.38336771384138,2.712925272
26,1,0,2,3,young leaf,0.0097,0.7,SKT_26,Zn,0.097068791,0.097,0.089827078,0.0899221,79.459882179676,0.7707608571428572
27,1,0,2,3,root,0.0043,0.7,SKT_27,Zn,0.122790783,0.123,0.11554907,0.115644092,230.519784717608,0.9912350742857143
55,0,1,0,1,old leaf,0.01027,0.7,SKT_28,Zn,0.02410635,0.024,0.016864637,0.016959659,14.154674363611072,0.1453685057142857
56,0,1,0,1,young leaf,0.01377,0.7,SKT_29,Zn,0.069379632,0.069,0.062137919,0.062232941,38.73821413009649,0.5334252085714286
57,0,1,0,1,root,0.00161,0.7,SKT_30,Zn,0.060709961,0.061,0.053468248,0.053563269999999996,285.16381543921915,0.45911374285714285
58,0,1,0,2,old leaf,0.04048,0.5,SKT_31,Zn,0.249736526,0.25,0.242494813,0.24258983499999998,71.91398270750987,2.9110780199999997
59,0,1,0,2,young leaf,0.02221,0.5,SKT_32,Zn,0.083353924,0.083,0.076112211,0.076207233,41.17455182350293,0.914486796
60,0,1,0,2,root,0.00136,0.7,SKT_33,Zn,0.195811935,0.196,0.188570222,0.18866524399999998,1189.0666638655462,1.617130662857143
61,0,1,0,3,old leaf,0.06928,0.4,SKT_34,Zn,0.353550206,0.354,0.346308493,0.346403515,75.0007610421478,5.1960527249999995
62,0,1,0,3,young leaf,0.02692,0.5,SKT_35,Zn,0.086734984,0.087,0.079493271,0.079588293,35.47769375928678,0.955059516
63,0,1,0,3,root,0.00205,0.7,SKT_36,Zn,0.068435018,0.068,0.061193305,0.061288327000000004,256.25781324041816,0.5253285171428572
