Cap,Salt,Cadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,ConcCor,CorConc,ugElementPermgDW,ugElement
25,1,0,2,3,old leaf,0.03215,0.5,SKT_25,Na,16.52363695,16.52,16.32862675,16.338175004,6.098230172566097,196.058100048
26,1,0,2,3,young leaf,0.0097,0.7,SKT_26,Na,16.0369206,16.04,15.8419104,15.851458653999998,14.007179959351987,135.86964560571428
27,1,0,2,3,root,0.0043,0.7,SKT_27,Na,3.421472877,3.421,3.226462681,3.236010931,6.450520128239204,27.737236551428577
55,0,1,0,1,old leaf,0.01027,0.7,SKT_28,Na,0.555720629,0.556,0.360710433,0.370258683,0.30902101794408127,3.1736458542857147
56,0,1,0,1,young leaf,0.01377,0.7,SKT_29,Na,0.63734719,0.637,0.442336994,0.45188524399999996,0.2812855549330843,3.873302091428571
57,0,1,0,1,root,0.00161,0.7,SKT_30,Na,0.712358899,0.712,0.517348703,0.5268969530000001,2.805130184560781,4.516259597142858
58,0,1,0,2,old leaf,0.04048,0.5,SKT_31,Na,1.191356649,1.191,0.996346453,1.005894703,0.29819012934782607,12.070736436
59,0,1,0,2,young leaf,0.02221,0.5,SKT_32,Na,0.597437016,0.597,0.40242682,0.41197507,0.2225889617289509,4.94370084
60,0,1,0,2,root,0.00136,0.7,SKT_33,Na,0.433191241,0.433,0.238181045,0.24772929500000002,1.5613190861344537,2.123393957142857
61,0,1,0,3,old leaf,0.06928,0.4,SKT_34,Na,1.716459245,1.716,1.521449049,1.530997299,0.33148036208140874,22.964959484999998
62,0,1,0,3,young leaf,0.02692,0.5,SKT_35,Na,0.653934663,0.654,0.458924467,0.46847271700000004,0.20882884858841014,5.6216726040000005
63,0,1,0,3,root,0.00205,0.7,SKT_36,Na,0.538873359,0.539,0.343863163,0.353411413,1.477678381881533,3.0292406828571434
64,0,1,1,1,old leaf,0.0158,0.7,SKT_37,Na,0.826495188,0.826,0.631484992,0.641033242,0.34775763580470165,5.494570645714286
65,0,1,1,1,young leaf,0.0042,0.7,SKT_38,Na,0.282783609,0.283,0.087773413,0.097321663,0.1986156387755102,0.8341856828571429
66,0,1,1,1,root,0.00109,0.7,SKT_39,Na,0.45108528,0.451,0.256075084,0.265623334,2.0887811323722145,2.276771434285714
67,0,1,1,2,old leaf,0.02225,0.5,SKT_40,Na,0.610580802,0.611,0.415570606,0.425118856,0.22927758525842695,5.101426271999999
68,0,1,1,2,young leaf,0.01885,0.7,SKT_41,Na,0.8674908,0.867,0.672480604,0.682028854,0.31013058916256164,5.845961605714287
69,0,1,1,2,root,0.00414,0.7,SKT_42,Na,1.247657996,1.248,1.0526478,1.06219605,2.1991636645962735,9.104537571428573
70,0,1,1,3,old leaf,0.05336,0.5,SKT_43,Na,1.063975897,1.064,0.868965701,0.878513951,0.1975668555472264,10.542167412
71,0,1,1,3,young leaf,0.01974,0.7,SKT_44,Na,0.919957072,0.92,0.724946876,0.734495126,0.3189297116804168,6.295672508571428
72,0,1,1,3,root,0.00194,0.7,SKT_45,Na,0.754404876,0.754,0.55939468,0.56894293,2.5137390132547863,4.8766536857142855
73,0,1,2,1,old leaf,0.01725,0.7,SKT_46,Na,0.958329069,0.958,0.763318873,0.772867123,0.3840333530434783,6.624575340000001
74,0,1,2,1,young leaf,0.01065,0.7,SKT_47,Na,0.693623248,0.694,0.498613052,0.508161302,0.40898293923541246,4.355668302857143
75,0,1,2,1,root,9e-4,0.7,SKT_48,Na,0.484853832,0.485,0.289843636,0.299391886,2.851351295238095,2.5662161657142857
76,0,1,2,2,old leaf,0.06388,0.4,SKT_49,Na,1.727399451,1.727,1.532389255,1.541937505,0.3620704848935503,23.129062575
77,0,1,2,2,young leaf,0.02182,0.5,SKT_50,Na,0.716426898,0.716,0.521416702,0.530964952,0.2920063897341888,6.371579424
78,0,1,2,2,root,0.00432,0.7,SKT_51,Na,1.100393274,1.1,0.905383078,0.914931328,1.8153399365079368,7.842268525714287
79,0,1,2,3,old leaf,0.09999,0.4,SKT_52,Na,2.090389366,2.09,1.89537917,1.9049274200000001,0.28576768976897693,28.573911300000002
80,0,1,2,3,young leaf,0.04808,0.5,SKT_53,Na,1.686345361,1.686,1.491335165,1.500883415,0.3745965262063228,18.01060098
81,0,1,2,3,root,0.00432,0.7,SKT_54,Na,1.427887272,1.428,1.232877076,1.242425326,2.465129615079365,10.649359937142858
1,1,0,0,1,old leaf,0.10951,0.4,SKT_01,K,87.61030516,87.61,87.53466497,87.51737935199999,11.987587346178431,1312.7606902799998
2,1,0,0,1,young leaf,0.026,0.5,SKT_02,K,67.35581419,67.36,67.280174,67.262888382,31.044410022461538,807.154660584
3,1,0,0,1,root,0.0029,0.7,SKT_03,K,4.983286623,4.983,4.907646434,4.890360814999999,14.454268418719213,41.917378414285714
4,1,0,0,2,old leaf,0.04946,0.5,SKT_04,K,66.60089481,66.6,66.52525462,66.507969002,16.13618334055803,798.095628024
5,1,0,0,2,young leaf,0.01384,0.7,SKT_05,K,27.23112127,27.23,27.15548108,27.138195462,16.807305199421968,232.61310396000002
