Cap,Salt,Cadmium,Timepoint,Plant,TissueType,WetWeight,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
51,0,0,2,2,root,0.087,0.00293,0.7,SKT_24,Na,0.747384013,0.747,0.38441363900000003,1.1245645216967337,3.2949740485714294
52,0,0,2,3,old leaf,0.417,0.05331,0.7,SKT_25,Na,4.154489362,4.154,3.7915189879999995,0.6096179737921055,32.49873418285714
53,0,0,2,3,young leaf,0.115,0.01395,0.7,SKT_26,Na,0.730368163,0.73,0.367397789,0.22574364915514591,3.1491239057142857
54,0,0,2,3,root,0.165,0.0067,0.7,SKT_27,Na,1.444870853,1.445,1.0819004790000002,1.3840944294243072,9.273432677142859
82,1,1,0,1,old leaf,0.24,0.02167,0.7,SKT_28,Na,1.61303941,1.613,1.2500690360000002,0.4944567351835983,10.714877451428574
83,1,1,0,1,young leaf,0.078,0.00766,0.7,SKT_29,Na,0.495536287,0.496,0.13256591300000004,0.14833932823573295,1.1362792542857145
84,1,1,0,1,root,0.324,0.00413,0.7,SKT_30,Na,2.274776827,2.275,1.911806453,3.967775412659979,16.386912454285714
85,1,1,0,2,old leaf,0.668,0.08326,0.7,SKT_31,Na,5.228278792,5.228,4.865308418000001,0.5008724907861776,41.70264358285715
86,1,1,0,2,young leaf,0.165,0.02175,0.7,SKT_32,Na,1.158044737,1.158,0.795074363,0.313329798226601,6.8149231114285715
87,1,1,0,2,root,0.357,0.00262,0.7,SKT_33,Na,1.421345259,1.421,1.058374885,3.462513255179935,9.07178472857143
88,1,1,0,3,old leaf,0.123,0.01696,0.7,SKT_34,Na,1.163728551,1.164,0.800758177,0.404695844171159,6.863641517142857
89,1,1,0,3,young leaf,0.117,0.02156,0.7,SKT_35,Na,0.615133044,0.615,0.25216267000000003,0.10025020010601646,2.161394314285715
90,1,1,0,3,root,0.333,0.00338,0.7,SKT_36,Na,1.787859262,1.788,1.424888888,3.613412226542687,12.213333325714284
91,1,1,1,1,old leaf,0.224,0.02091,0.7,SKT_37,Na,25.20815017,25.21,24.845179796,10.184537731502358,212.9586839657143
92,1,1,1,1,young leaf,0.084,0.00779,0.7,SKT_38,Na,9.230455333,9.23,8.867484959,9.756997937649,76.00701393428571
93,1,1,1,1,root,0.232,0.0019,0.7,SKT_39,Na,1.336243817,1.336,0.973273443,4.390707261654135,8.342343797142856
94,1,1,1,2,old leaf,0.539,0.08039,0.7,SKT_40,Na,6.134839295,6.135,5.771868921,0.6154143821370818,49.47316218
95,1,1,1,2,young leaf,0.147,0.02439,0.7,SKT_41,Na,1.025494783,1.025,0.6625244090000001,0.2328323349147778,5.67878064857143
96,1,1,1,2,root,0.212,8.6e-4,0.9,SKT_42,Na,1.165900764,1.166,0.8029303900000001,6.2242665891472875,5.3528692666666675
97,1,1,1,3,old leaf,0.134,0.02143,0.7,SKT_43,Na,1.279403837,1.279,0.9164334630000001,0.36654894860342646,7.855143968571429
98,1,1,1,3,young leaf,0.06,0.01283,0.7,SKT_44,Na,0.458204772,0.458,0.095234398,0.0636239158222915,0.81629484
99,1,1,1,3,root,0.425,0.00403,0.7,SKT_45,Na,2.577744981,2.578,2.214774607,4.710615966678484,18.983782345714285
100,1,1,2,1,old leaf,NA,0.01067,0.7,SKT_46,Na,12.05880905,12.06,11.695838676000001,9.395505697683761,100.25004579428573
101,1,1,2,1,young leaf,NA,0.0064,0.7,SKT_47,Na,22.87231723,22.87,22.509346856,30.14644668214285,192.93725876571426
102,1,1,2,1,root,NA,0.00558,0.7,SKT_48,Na,3.930866239,3.931,3.567895865,5.48063880952381,30.581964557142857
103,1,1,2,2,old leaf,NA,0.08275,0.7,SKT_49,Na,7.528781824,7.529,7.1658114500000005,0.7422506465256798,61.42124100000001
104,1,1,2,2,young leaf,NA,0.02628,0.7,SKT_50,Na,1.332935159,1.333,0.969964785,0.31636163894324854,8.313983871428572
105,1,1,2,2,root,NA,0.01388,0.7,SKT_51,Na,13.37172193,13.37,13.008751556,8.03339947879786,111.5035847657143
106,1,1,2,3,old leaf,NA,0.02069,0.7,SKT_52,Na,1.185362028,1.185,0.8223916539999999,0.34069943547607534,7.0490713199999995
107,1,1,2,3,young leaf,NA,0.01375,0.7,SKT_53,Na,0.637177394,0.637,0.27420701999999997,0.1709342462337662,2.3503458857142854
108,1,1,2,3,root,NA,0.00681,0.7,SKT_54,Na,4.295799128,4.296,3.9328287539999995,4.950067657646318,33.709960748571426
28,0,0,0,1,old leaf,0.045,0.00567,0.7,SKT_01,K,0.533033335,0.533,0.48556188000000006,0.7340315646258504,4.161958971428572
29,0,0,0,1,young leaf,0.022,0.0034,0.7,SKT_02,K,1.694468047,1.694,1.646996592,4.152092248739496,14.117113645714287
30,0,0,0,1,root,0,4.4e-4,0.9,SKT_03,K,0.216571191,0.217,0.169099736,2.562117212121213,1.1273315733333336
31,0,0,0,2,old leaf,0.241,0.02381,0.7,SKT_04,K,44.14494263,44.14,44.097471175,15.874772127557447,377.97832435714287
32,0,0,0,2,young leaf,0.055,0.00592,0.7,SKT_05,K,12.04193466,12.04,11.994463205,17.366500779440155,102.80968461428571
33,0,0,0,2,root,0.075,6.6e-4,0.9,SKT_06,K,0.600823751,0.601,0.5533522959999999,5.58941713131313,3.689015306666666
34,0,0,0,3,old leaf,0.385,0.04599,0.7,SKT_07,K,116.2805266,116.3,116.23305514500001,21.663042613922286,996.2833298142859
35,0,0,0,3,young leaf,0.114,0.01297,0.7,SKT_08,K,27.0628358,27.06,27.015364345,17.8535285901531,231.5602658142857
36,0,0,0,3,root,0.087,0.00181,0.7,SKT_09,K,1.804747111,1.805,1.757275656,8.321747384372534,15.062362765714287
37,0,0,1,1,old leaf,0.054,0.0067,0.7,SKT_10,K,0.617271972,0.617,0.5698005169999999,0.7289558852878463,4.88400443142857
38,0,0,1,1,young leaf,0.037,0.00494,0.7,SKT_11,K,2.238854865,2.239,2.19138341,3.8022846905725856,18.78328637142857
39,0,0,1,1,root,0.015,4.5e-4,0.9,SKT_12,K,0.90575131,0.906,0.8582798549999999,12.715257111111109,5.7218656999999995
40,0,0,1,2,old leaf,0.188,0.02266,0.7,SKT_13,K,17.60369417,17.6,17.556222715,6.640860943764973,150.48190898571428
41,0,0,1,2,young leaf,0.147,0.0201,0.7,SKT_14,K,39.45252466,39.45,39.405053205,16.803860641791044,337.7575989
42,0,0,1,2,root,0.081,0.00206,0.7,SKT_15,K,2.332282559,2.332,2.2848111039999996,9.506842319001386,19.584095177142856
43,0,0,1,3,old leaf,0.516,0.05449,0.7,SKT_16,K,74.14966053,74.15,74.10218907500001,11.656480466927094,635.1616206428573
44,0,0,1,3,young leaf,0.304,0.03535,0.7,SKT_17,K,79.40295219,79.4,79.355480735,19.241579487169123,680.1898348714285
45,0,0,1,3,root,0.122,0.00493,0.7,SKT_18,K,4.352293672,4.352,4.304822217,7.48447792002318,36.898476145714284
46,0,0,2,1,old leaf,0.065,0.00734,0.7,SKT_19,K,6.859314566,6.859,6.811843111,7.95466303347606,58.38722666571428
47,0,0,2,1,young leaf,0.066,0.00558,0.7,SKT_20,K,0,0,0,0,0
48,0,0,2,1,root,0.01,6.9e-4,0.9,SKT_21,K,0.299684729,0.3,0.252213274,2.43684322705314,1.6814218266666665
49,0,0,2,2,old leaf,0.266,0.03089,0.7,SKT_22,K,30.98942627,30.99,30.941954815,8.58584511353651,265.21675555714285
50,0,0,2,2,young leaf,0.129,0.0157,0.7,SKT_23,K,30.6821845,30.68,30.634713045,16.72504806824386,262.5832546714286
51,0,0,2,2,root,0.087,0.00293,0.7,SKT_24,K,2.976986536,2.977,2.929515081,8.570009988298391,25.110129265714285
52,0,0,2,3,old leaf,0.417,0.05331,0.7,SKT_25,K,112.5078324,112.5,112.460360945,18.081897410563553,963.9459509571429
53,0,0,2,3,young leaf,0.115,0.01395,0.7,SKT_26,K,30.61299849,30.61,30.565527035,18.78066177265745,261.9902317285714
54,0,0,2,3,root,0.165,0.0067,0.7,SKT_27,K,3.060386312,3.06,3.0129148569999997,3.854475296801705,25.824984488571424
82,1,1,0,1,old leaf,0.24,0.02167,0.7,SKT_28,K,61.3587165,61.36,61.311245045,24.251267075614745,525.5249575285715
