Cap,SaltCadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
30,00,0,1,root,4.40E-04,0.9,SKT_03,Fe,0.148504697,0.149,0.126915574,1922.963242,0.846103827
31,00,0,2,shoot,0.02381,0.7,SKT_04,Fe,0.067134661,0.067,0.045545538,16.39606576,0.390390326
32,00,0,2,shoot,0.00592,0.7,SKT_05,Fe,0.063116395,0.063,0.041527272,60.12635907,0.355948046
33,00,0,2,root,6.60E-04,0.9,SKT_06,Fe,0.657769733,0.658,0.63618061,6426.066768,4.241204067
34,00,0,3,shoot,0.04599,0.7,SKT_07,Fe,0.146591075,0.147,0.125001952,23.29735383,1.071445303
35,00,0,3,shoot,0.01297,0.7,SKT_08,Fe,0.059422237,0.059,0.037833114,25.00260866,0.324283834
36,00,0,3,root,0.00181,0.7,SKT_09,Fe,1.357710281,1.358,1.336121158,6327.329872,11.45246707
37,00,1,1,shoot,0.0067,0.7,SKT_10,Fe,0.055182942,0.055,0.033593819,42.97716716,0.28794702
38,00,1,1,shoot,0.00494,0.7,SKT_11,Fe,0.027077949,0.027,0.005488826,9.523700405,0.04704708
39,00,1,1,root,4.50E-04,0.9,SKT_12,Fe,0.278125616,0.278,0.256536493,3800.540637,1.710243287
40,00,1,2,shoot,0.02266,0.7,SKT_13,Fe,0.075399874,0.075,0.053810751,20.35458996,0.461235009
41,00,1,2,shoot,0.0201,0.7,SKT_14,Fe,0.068902461,0.069,0.047313338,20.17626354,0.405542897
42,00,1,2,root,0.00206,0.7,SKT_15,Fe,0.974981617,0.975,0.953392494,3966.95906,8.171935663
43,00,1,3,shoot,0.05449,0.7,SKT_16,Fe,0.178712712,0.179,0.157123589,24.71597761,1.34677362
44,00,1,3,shoot,0.03535,0.7,SKT_17,Fe,0.137595729,0.138,0.116006606,28.1284961,0.994342337
45,00,1,3,root,0.00493,0.7,SKT_18,Fe,3.417441045,3.417,3.395851922,5904.118091,29.10730219
46,00,2,1,shoot,0.00734,0.7,SKT_19,Fe,0.038832602,0.039,0.017243479,20.13640989,0.147801249
47,00,2,1,shoot,0.00558,0.7,SKT_20,Fe,NA,NA,NA,NA,NA
48,00,2,1,root,6.90E-04,0.9,SKT_21,Fe,0.194413892,0.194,0.172824769,1669.804531,1.152165127
49,00,2,2,shoot,0.03089,0.7,SKT_22,Fe,0.102463205,0.102,0.080874082,22.44112713,0.693206417
50,00,2,2,shoot,0.0157,0.7,SKT_23,Fe,0.060148386,0.06,0.038559263,21.05146297,0.330507969
51,00,2,2,root,0.00293,0.7,SKT_24,Fe,1.071670794,1.072,1.050081671,3071.911275,9.000700037
52,00,2,3,shoot,0.05331,0.7,SKT_25,Fe,0.20136834,0.201,0.179779217,28.90573471,1.540964717
53,00,2,3,shoot,0.01395,0.7,SKT_26,Fe,0.106008803,0.106,0.08441968,51.87077112,0.723597257
54,00,2,3,root,0.0067,0.7,SKT_27,Fe,3.868826774,3.869,3.847237651,4921.839212,32.97632272
28,00,0,1,shoot,0.00567,0.7,SKT_01,Zn,0.04180055,0.042,0.034831781,52.65575359,0.298558123
29,00,0,1,shoot,0.0034,0.7,SKT_02,Zn,0.01225612,0.012,0.005287351,13.3294563,0.045320151
30,00,0,1,root,4.40E-04,0.9,SKT_03,Zn,0.028712138,0.029,0.021743369,329.4449848,0.144955793
31,00,0,2,shoot,0.02381,0.7,SKT_04,Zn,0.561377984,0.561,0.554409215,199.5833257,4.752078986
32,00,0,2,shoot,0.00592,0.7,SKT_05,Zn,0.052725938,0.053,0.045757169,66.25072732,0.392204306
33,00,0,2,root,6.60E-04,0.9,SKT_06,Zn,0.05208919,0.052,0.045120421,455.7618283,0.300802807
34,00,0,3,shoot,0.04599,0.7,SKT_07,Zn,0.175775612,0.176,0.168806843,31.46153071,1.446915797
35,00,0,3,shoot,0.01297,0.7,SKT_08,Zn,0.120849231,0.121,0.113880462,75.25969512,0.976118246
36,00,0,3,root,0.00181,0.7,SKT_09,Zn,0.067766654,0.068,0.060797885,287.9142147,0.521124729
37,00,1,1,shoot,0.0067,0.7,SKT_10,Zn,0.05156052,0.052,0.044591751,57.0470162,0.382215009
38,00,1,1,shoot,0.00494,0.7,SKT_11,Zn,0.029705494,0.03,0.022736725,39.45065067,0.194886214
39,00,1,1,root,4.50E-04,0.9,SKT_12,Zn,0.043587518,0.044,0.036618749,542.4999852,0.244124993
40,00,1,2,shoot,0.02266,0.7,SKT_13,Zn,0.309277139,0.309,0.30230837,114.3519241,2.5912146
41,00,1,2,shoot,0.0201,0.7,SKT_14,Zn,0.179559674,0.18,0.172590905,73.59953305,1.479350614
42,00,1,2,root,0.00206,0.7,SKT_15,Zn,0.185150055,0.185,0.178181286,741.3923135,1.527268166
43,00,1,3,shoot,0.05449,0.7,SKT_16,Zn,0.202993433,0.203,0.196024664,30.83522492,1.680211406
44,00,1,3,shoot,0.03535,0.7,SKT_17,Zn,0.239360607,0.239,0.232391838,56.34879887,1.99193004
45,00,1,3,root,0.00493,0.7,SKT_18,Zn,0.132283253,0.132,0.125314484,217.8750808,1.074124149
46,00,2,1,shoot,0.00734,0.7,SKT_19,Zn,0.025155481,0.025,0.018186712,21.23788867,0.155886103
47,00,2,1,shoot,0.00558,0.7,SKT_20,Zn,NA,NA,NA,NA,NA
48,00,2,1,root,6.90E-04,0.9,SKT_21,Zn,0.020094985,0.02,0.013126216,126.823343,0.087508107
49,00,2,2,shoot,0.03089,0.7,SKT_22,Zn,0.221958924,0.222,0.214990155,59.65596494,1.842772757
50,00,2,2,shoot,0.0157,0.7,SKT_23,Zn,0.134088147,0.134,0.127119378,69.4009343,1.089594669
51,00,2,2,root,0.00293,0.7,SKT_24,Zn,0.343346133,0.343,0.336377364,984.0390951,2.883234549
52,00,2,3,shoot,0.05331,0.7,SKT_25,Zn,0.211151752,0.211,0.204182983,32.82948517,1.750139854
53,00,2,3,shoot,0.01395,0.7,SKT_26,Zn,0.151766192,0.152,0.144797423,88.96923072,1.241120769
54,00,2,3,root,0.0067,0.7,SKT_27,Zn,0.236910126,0.237,0.229941357,294.1680473,1.970925917
1,10,0,1,shoot,0.10951,0.4,SKT_01,Cd,0.006914733,0.007,0.003384727,0.463618893,0.050770905
2,10,0,1,shoot,0.026,0.5,SKT_02,Cd,0.00611559,0.006,0.002585584,1.193346462,0.031027008
3,10,0,1,root,0.0029,0.7,SKT_03,Cd,0.005947642,0.006,0.002417636,7.145722167,0.020722594
4,10,0,2,shoot,0.04946,0.5,SKT_04,Cd,0,0,0,0,0
5,10,0,2,shoot,0.01384,0.7,SKT_05,Cd,0.005612998,0.006,0.002082992,1.290044591,0.017854217
6,10,0,2,root,8.70E-04,0.7,SKT_06,Cd,0.005334704,0.005,0.001804698,17.78027586,0.01546884
7,10,0,3,shoot,0.06652,0.4,SKT_07,Cd,0.005535709,0.006,0.002005703,0.452278187,0.030085545
8,10,0,3,shoot,0.04741,0.5,SKT_08,Cd,0.00551147,0.006,0.001981464,0.501530648,0.023777568
9,10,0,3,root,0.00169,0.7,SKT_09,Cd,0.00458236,0.005,0.001052354,5.337382925,0.009020177
10,10,1,1,shoot,0.06685,0.4,SKT_10,Cd,0.005554372,0.006,0.002024366,0.454233209,0.03036549
11,10,1,1,shoot,0.0075,0.7,SKT_11,Cd,0.006382888,0.006,0.002852882,3.260436571,0.024453274
12,10,1,1,root,0.00146,0.7,SKT_12,Cd,0.005083094,0.005,0.001553088,9.117933464,0.013312183
13,10,1,2,shoot,0.01357,0.7,SKT_13,Cd,0.005328441,0.005,0.001798435,1.13597326,0.015415157
14,10,1,2,shoot,0.00244,0.7,SKT_14,Cd,0.004367492,0.004,8.37E-04,2.94198829,0.007178451
15,10,1,2,root,8.60E-04,0.7,SKT_15,Cd,0.00409965,0.004,5.70E-04,5.67751495,0.004882663
16,10,1,3,shoot,0.03447,0.5,SKT_16,Cd,0.004607017,0.005,0.001077011,0.374938555,0.012924132
17,10,1,3,shoot,0.01089,0.7,SKT_17,Cd,0.00443448,0.004,9.04E-04,0.711903975,0.007752634
18,10,1,3,root,0.0102,0.7,SKT_18,Cd,0,0,0,0,0
19,10,2,1,shoot,0.03178,0.5,SKT_19,Cd,0,0,0,0,0
20,10,2,1,shoot,0.00796,0.7,SKT_20,Cd,0.005584718,0.006,0.002054712,2.212539842,0.017611817
21,10,2,1,root,0.00145,0.7,SKT_21,Cd,0.005037513,0.005,0.001507507,8.911371429,0.012921489
22,10,2,2,shoot,0.01486,0.7,SKT_22,Cd,0,0,0,0,0
23,10,2,2,shoot,0.00285,0.7,SKT_23,Cd,0.002398255,0.002,0,0,0
24,10,2,2,root,0.00329,0.7,SKT_24,Cd,0.004840934,0.005,0.001310928,3.41535736,0.011236526
25,10,2,3,shoot,0.03215,0.5,SKT_25,Cd,0.003852071,0.004,3.22E-04,0.120210886,0.00386478
26,10,2,3,shoot,0.0097,0.7,SKT_26,Cd,0.005054315,0.005,0.001524309,1.346959352,0.013065506
27,10,2,3,root,0.0043,0.7,SKT_27,Cd,0.003550979,0.004,2.10E-05,0.041806645,1.80E-04
1,10,0,1,shoot,0.10951,0.4,SKT_01,Na,4.588776377,4.589,4.403314431,603.1386765,66.04971647
