Cap,SaltCadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
54,00,2,3,root,0.0067,0.7,SKT_27,Fe,3.868826774,3.869,3.847237651,4921.839212,32.97632272
82,11,0,1,shoot,0.02167,0.7,SKT_28,Fe,0.149019294,0.149,0.127430171,50.40418129,1.092258609
83,11,0,1,shoot,0.00766,0.7,SKT_29,Fe,0.120386719,0.12,0.098797596,110.5530727,0.846836537
84,11,0,1,root,0.00413,0.7,SKT_30,Fe,3.962669837,3.963,3.941080714,8179.34427,33.78069183
85,11,0,2,shoot,0.08326,0.7,SKT_31,Fe,0.676990616,0.677,0.655401493,67.47210044,5.617727083
86,11,0,2,shoot,0.02175,0.7,SKT_32,Fe,0.29654366,0.297,0.274954537,108.3564678,2.356753174
87,11,0,2,root,0.00262,0.7,SKT_33,Fe,3.973202778,3.973,3.951613655,12927.85274,33.87097419
88,11,0,3,shoot,0.01696,0.7,SKT_34,Fe,0.372504097,0.373,0.350914974,177.3492119,3.007842634
89,11,0,3,shoot,0.02156,0.7,SKT_35,Fe,0.170970438,0.171,0.149381315,59.3882779,1.280411271
90,11,0,3,root,0.00338,0.7,SKT_36,Fe,4.710201461,4.71,4.688612338,11889.97212,40.18810575
91,11,1,1,shoot,0.02091,0.7,SKT_37,Fe,0.166678479,0.167,0.145089356,59.47503833,1.243623051
92,11,1,1,shoot,0.00779,0.7,SKT_38,Fe,0.106299997,0.106,0.084710874,93.20837044,0.726093206
93,11,1,1,root,0.0019,0.7,SKT_39,Fe,2.531774624,2.532,2.510185501,11324.14512,21.51587572
94,11,1,2,shoot,0.08039,0.7,SKT_40,Fe,1.420860646,1.421,1.399271523,149.1946251,11.99375591
95,11,1,2,shoot,0.02439,0.7,SKT_41,Fe,0.232639776,0.233,0.211050653,74.16997118,1.809005597
96,11,1,2,root,8.60E-04,0.9,SKT_42,Fe,3.538791161,3.539,3.517202038,27265.13208,23.44801359
97,11,1,3,shoot,0.02143,0.7,SKT_43,Fe,0.681343172,0.681,0.659754049,263.8840273,5.655034706
98,11,1,3,shoot,0.01283,0.7,SKT_44,Fe,0.093295992,0.093,0.071706869,47.90571362,0.614630306
99,11,1,3,root,0.00403,0.7,SKT_45,Fe,6.193852095,6.194,6.172262972,13127.81915,52.90511119
100,11,2,1,shoot,0.01067,0.7,SKT_46,Fe,0.139762246,0.14,0.118173123,94.93087937,1.012912483
101,11,2,1,shoot,0.0064,0.7,SKT_47,Fe,0.081531523,0.082,0.0599424,80.28,0.513792
102,11,2,1,root,0.00558,0.7,SKT_48,Fe,4.556478243,4.556,4.53488912,6966.035515,38.87047817
103,11,2,2,shoot,0.08275,0.7,SKT_49,Fe,0.840369721,0.84,0.818780598,84.81111071,7.018119411
104,11,2,2,shoot,0.02628,0.7,SKT_50,Fe,0.254059433,0.254,0.23247031,75.82201892,1.992602657
105,11,2,2,root,0.01388,0.7,SKT_51,Fe,5.127359158,5.127,5.105770035,3153.007432,43.76374316
106,11,2,3,shoot,0.02069,0.7,SKT_52,Fe,0.545572862,0.546,0.523983739,217.0753597,4.491289191
107,11,2,3,shoot,0.01375,0.7,SKT_53,Fe,0.154738233,0.155,0.13314911,83.0020426,1.141278086
108,11,2,3,root,0.00681,0.7,SKT_54,Fe,7.355157078,7.355,7.333567955,9230.419075,62.8591539
28,00,0,1,shoot,0.00567,0.7,SKT_01,Zn,0.04180055,0.042,0.034831781,52.65575359,0.298558123
29,00,0,1,shoot,0.0034,0.7,SKT_02,Zn,0.01225612,0.012,0.005287351,13.3294563,0.045320151
30,00,0,1,root,4.40E-04,0.9,SKT_03,Zn,0.028712138,0.029,0.021743369,329.4449848,0.144955793
31,00,0,2,shoot,0.02381,0.7,SKT_04,Zn,0.561377984,0.561,0.554409215,199.5833257,4.752078986
32,00,0,2,shoot,0.00592,0.7,SKT_05,Zn,0.052725938,0.053,0.045757169,66.25072732,0.392204306
33,00,0,2,root,6.60E-04,0.9,SKT_06,Zn,0.05208919,0.052,0.045120421,455.7618283,0.300802807
34,00,0,3,shoot,0.04599,0.7,SKT_07,Zn,0.175775612,0.176,0.168806843,31.46153071,1.446915797
35,00,0,3,shoot,0.01297,0.7,SKT_08,Zn,0.120849231,0.121,0.113880462,75.25969512,0.976118246
36,00,0,3,root,0.00181,0.7,SKT_09,Zn,0.067766654,0.068,0.060797885,287.9142147,0.521124729
37,00,1,1,shoot,0.0067,0.7,SKT_10,Zn,0.05156052,0.052,0.044591751,57.0470162,0.382215009
38,00,1,1,shoot,0.00494,0.7,SKT_11,Zn,0.029705494,0.03,0.022736725,39.45065067,0.194886214
39,00,1,1,root,4.50E-04,0.9,SKT_12,Zn,0.043587518,0.044,0.036618749,542.4999852,0.244124993
40,00,1,2,shoot,0.02266,0.7,SKT_13,Zn,0.309277139,0.309,0.30230837,114.3519241,2.5912146
41,00,1,2,shoot,0.0201,0.7,SKT_14,Zn,0.179559674,0.18,0.172590905,73.59953305,1.479350614
42,00,1,2,root,0.00206,0.7,SKT_15,Zn,0.185150055,0.185,0.178181286,741.3923135,1.527268166
43,00,1,3,shoot,0.05449,0.7,SKT_16,Zn,0.202993433,0.203,0.196024664,30.83522492,1.680211406
44,00,1,3,shoot,0.03535,0.7,SKT_17,Zn,0.239360607,0.239,0.232391838,56.34879887,1.99193004
45,00,1,3,root,0.00493,0.7,SKT_18,Zn,0.132283253,0.132,0.125314484,217.8750808,1.074124149
46,00,2,1,shoot,0.00734,0.7,SKT_19,Zn,0.025155481,0.025,0.018186712,21.23788867,0.155886103
47,00,2,1,shoot,0.00558,0.7,SKT_20,Zn,NA,NA,NA,NA,NA
48,00,2,1,root,6.90E-04,0.9,SKT_21,Zn,0.020094985,0.02,0.013126216,126.823343,0.087508107
49,00,2,2,shoot,0.03089,0.7,SKT_22,Zn,0.221958924,0.222,0.214990155,59.65596494,1.842772757
50,00,2,2,shoot,0.0157,0.7,SKT_23,Zn,0.134088147,0.134,0.127119378,69.4009343,1.089594669
51,00,2,2,root,0.00293,0.7,SKT_24,Zn,0.343346133,0.343,0.336377364,984.0390951,2.883234549
52,00,2,3,shoot,0.05331,0.7,SKT_25,Zn,0.211151752,0.211,0.204182983,32.82948517,1.750139854
