Cap,Salt,Cadmium,Timepoint,Plant,TissueType,WetWeight,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
98,1,1,1,3,young leaf,0.06,0.01283,0.7,SKT_44,Na,0.458204772,0.458,0.095234398,63.623915822291515,0.8162948400000001
99,1,1,1,3,root,0.425,0.00403,0.7,SKT_45,Na,2.577744981,2.578,2.214774607,4710.615966678483,18.983782345714285
100,1,1,2,1,old leaf,NA,0.01067,0.7,SKT_46,Na,12.05880905,12.06,11.695838676000001,9395.50569768376,100.25004579428573
101,1,1,2,1,young leaf,NA,0.0064,0.7,SKT_47,Na,22.87231723,22.87,22.509346856,30146.446682142858,192.9372587657143
102,1,1,2,1,root,NA,0.00558,0.7,SKT_48,Na,3.930866239,3.931,3.567895865,5480.63880952381,30.581964557142857
103,1,1,2,2,old leaf,NA,0.08275,0.7,SKT_49,Na,7.528781824,7.529,7.1658114500000005,742.2506465256798,61.42124100000001
104,1,1,2,2,young leaf,NA,0.02628,0.7,SKT_50,Na,1.332935159,1.333,0.969964785,316.3616389432486,8.313983871428572
105,1,1,2,2,root,NA,0.01388,0.7,SKT_51,Na,13.37172193,13.37,13.008751556,8033.39947879786,111.5035847657143
106,1,1,2,3,old leaf,NA,0.02069,0.7,SKT_52,Na,1.185362028,1.185,0.8223916539999999,340.6994354760754,7.0490713199999995
107,1,1,2,3,young leaf,NA,0.01375,0.7,SKT_53,Na,0.637177394,0.637,0.27420701999999997,170.9342462337662,2.3503458857142854
108,1,1,2,3,root,NA,0.00681,0.7,SKT_54,Na,4.295799128,4.296,3.9328287539999995,4950.067657646318,33.709960748571426
28,0,0,0,1,old leaf,0.045,0.00567,0.7,SKT_01,K,0.533033335,0.533,0.48556188000000006,734.0315646258504,4.161958971428572
29,0,0,0,1,young leaf,0.022,0.0034,0.7,SKT_02,K,1.694468047,1.694,1.646996592,4152.092248739496,14.117113645714287
30,0,0,0,1,root,0,4.4e-4,0.9,SKT_03,K,0.216571191,0.217,0.169099736,2562.117212121212,1.1273315733333333
31,0,0,0,2,old leaf,0.241,0.02381,0.7,SKT_04,K,44.14494263,44.14,44.097471175,15874.772127557448,377.97832435714287
32,0,0,0,2,young leaf,0.055,0.00592,0.7,SKT_05,K,12.04193466,12.04,11.994463205,17366.500779440154,102.80968461428571
33,0,0,0,2,root,0.075,6.6e-4,0.9,SKT_06,K,0.600823751,0.601,0.5533522959999999,5589.41713131313,3.6890153066666658
34,0,0,0,3,old leaf,0.385,0.04599,0.7,SKT_07,K,116.2805266,116.3,116.23305514500001,21663.042613922284,996.2833298142859
35,0,0,0,3,young leaf,0.114,0.01297,0.7,SKT_08,K,27.0628358,27.06,27.015364345,17853.5285901531,231.5602658142857
36,0,0,0,3,root,0.087,0.00181,0.7,SKT_09,K,1.804747111,1.805,1.757275656,8321.747384372535,15.062362765714287
37,0,0,1,1,old leaf,0.054,0.0067,0.7,SKT_10,K,0.617271972,0.617,0.5698005169999999,728.9558852878463,4.88400443142857
38,0,0,1,1,young leaf,0.037,0.00494,0.7,SKT_11,K,2.238854865,2.239,2.19138341,3802.284690572585,18.78328637142857
39,0,0,1,1,root,0.015,4.5e-4,0.9,SKT_12,K,0.90575131,0.906,0.8582798549999999,12715.257111111108,5.721865699999999
40,0,0,1,2,old leaf,0.188,0.02266,0.7,SKT_13,K,17.60369417,17.6,17.556222715,6640.860943764973,150.48190898571428
41,0,0,1,2,young leaf,0.147,0.0201,0.7,SKT_14,K,39.45252466,39.45,39.405053205,16803.86064179105,337.75759890000006
42,0,0,1,2,root,0.081,0.00206,0.7,SKT_15,K,2.332282559,2.332,2.2848111039999996,9506.842319001385,19.584095177142856
43,0,0,1,3,old leaf,0.516,0.05449,0.7,SKT_16,K,74.14966053,74.15,74.10218907500001,11656.480466927094,635.1616206428573
44,0,0,1,3,young leaf,0.304,0.03535,0.7,SKT_17,K,79.40295219,79.4,79.355480735,19241.579487169125,680.1898348714286
45,0,0,1,3,root,0.122,0.00493,0.7,SKT_18,K,4.352293672,4.352,4.304822217,7484.477920023181,36.898476145714284
46,0,0,2,1,old leaf,0.065,0.00734,0.7,SKT_19,K,6.859314566,6.859,6.811843111,7954.663033476061,58.38722666571429
47,0,0,2,1,young leaf,0.066,0.00558,0.7,SKT_20,K,0,0,0,0,0
48,0,0,2,1,root,0.01,6.9e-4,0.9,SKT_21,K,0.299684729,0.3,0.252213274,2436.84322705314,1.6814218266666665
49,0,0,2,2,old leaf,0.266,0.03089,0.7,SKT_22,K,30.98942627,30.99,30.941954815,8585.845113536512,265.21675555714285
50,0,0,2,2,young leaf,0.129,0.0157,0.7,SKT_23,K,30.6821845,30.68,30.634713045,16725.04806824386,262.5832546714286
51,0,0,2,2,root,0.087,0.00293,0.7,SKT_24,K,2.976986536,2.977,2.929515081,8570.00998829839,25.110129265714285
52,0,0,2,3,old leaf,0.417,0.05331,0.7,SKT_25,K,112.5078324,112.5,112.460360945,18081.897410563553,963.945950957143
