Sample ID,Samp Number,Sample Units,Analyte Name,Elem,Wavelength,Int (Corr),RSD (Corr Int),SD (Corr Int),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Calib Units,Samp Units,Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
SKT_34,40, ,Fe 238.204,Fe,238.204,194795.1308,0.711297028,1385.571976,0.3725040973,0.3725040973,0.373,0.373,0.6892371467,0.002567436612,0.002567436612,mg/L,mg/L,1,4/25/2022,2:11:57 PM,2,4/25/2022,2:12:03 PM,3,4/25/2022,2:12:08 PM
SKT_34,40, ,Zn 206.200,Zn,206.201,33329.50596,0.3261057022,108.6894195,0.3108508115,0.3108508115,0.311,0.311,0.3222574746,0.001001739975,0.001001739975,mg/L,mg/L,1,4/25/2022,2:12:14 PM,2,4/25/2022,2:12:23 PM,3,4/25/2022,2:12:30 PM
SKT_35,41, ,Cd 228.802,Cd,228.801,1903.142481,1.736554284,33.04910229,0.004604435556,0.004604435556,0.005,0.005,2.009011145,9.250362348e-005,9.250362348e-005,mg/L,mg/L,1,4/25/2022,2:14:49 PM,2,4/25/2022,2:14:58 PM,3,4/25/2022,2:15:05 PM
SKT_35,41, ,K 766.490,K,766.493,39223942.09,0.2048243249,80340.1746,39.60379047,39.60379047,39.60,39.60,0.2042774902,0.08090162918,0.08090162918,mg/L,mg/L,1,4/25/2022,2:15:18 PM,2,4/25/2022,2:15:25 PM,3,4/25/2022,2:15:31 PM
SKT_35,41, ,Na 589.592,Na,589.595,2102233.123,0.6380102922,13412.46369,0.615133044,0.615133044,0.615,0.615,0.5458998844,0.003358010576,0.003358010576,mg/L,mg/L,1,4/25/2022,2:15:41 PM,2,4/25/2022,2:15:45 PM,3,4/25/2022,2:15:47 PM
SKT_35,41, ,Fe 238.204,Fe,238.204,86033.18928,0.3318826342,285.5292149,0.1709704379,0.1709704379,0.171,0.171,0.3094568967,0.0005290798115,0.0005290798115,mg/L,mg/L,1,4/25/2022,2:15:54 PM,2,4/25/2022,2:16:02 PM,3,4/25/2022,2:16:08 PM
SKT_35,41, ,Zn 206.200,Zn,206.201,22337.0232,0.4263270433,95.22877058,0.2095381956,0.2095381956,0.210,0.210,0.4188636892,0.0008776794165,0.0008776794165,mg/L,mg/L,1,4/25/2022,2:16:17 PM,2,4/25/2022,2:16:25 PM,3,4/25/2022,2:16:32 PM
SKT_36,42, ,Cd 228.802,Cd,228.801,5053.056051,1.070642837,54.10018267,0.01342096607,0.01342096607,0.013,0.013,1.128272572,0.0001514250791,0.0001514250791,mg/L,mg/L,1,4/25/2022,2:18:51 PM,2,4/25/2022,2:18:59 PM,3,4/25/2022,2:19:06 PM
SKT_36,42, ,K 766.490,K,766.493,551145.5158,1.056061753,5820.436996,0.6607303731,0.6607303731,0.661,0.661,0.8870657624,0.005861112921,0.005861112921,mg/L,mg/L,1,4/25/2022,2:19:19 PM,2,4/25/2022,2:19:23 PM,3,4/25/2022,2:19:26 PM
SKT_36,42, ,Na 589.592,Na,589.595,6786300.505,0.4619724287,31350.83726,1.787859262,1.787859262,1.788,1.788,0.4390250646,0.007849150279,0.007849150279,mg/L,mg/L,1,4/25/2022,2:19:32 PM,2,4/25/2022,2:19:36 PM,3,4/25/2022,2:19:39 PM
SKT_36,42, ,Fe 238.204,Fe,238.204,2535726.113,0.336101779,8522.620574,4.710201461,4.710201461,4.710,4.710,0.3352774234,0.0157922421,0.0157922421,mg/L,mg/L,1,4/25/2022,2:19:45 PM,2,4/25/2022,2:19:49 PM,3,4/25/2022,2:19:51 PM
