Cap,Salt,Cadmium,SaltCadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
70,0,1,01,1,3,old leaf,0.05336,0.5,Na,1.063975897,1.064,0.878513951,0.197566856,10.54216741
71,0,1,01,1,3,young leaf,0.01974,0.7,Na,0.919957072,0.92,0.734495126,0.318929712,6.295672509
72,0,1,01,1,3,root,0.00194,0.7,Na,0.754404876,0.754,0.56894293,2.513739013,4.876653686
73,0,1,01,2,1,old leaf,0.01725,0.7,Na,0.958329069,0.958,0.772867123,0.384033353,6.62457534
74,0,1,01,2,1,young leaf,0.01065,0.7,Na,0.693623248,0.694,0.508161302,0.408982939,4.355668303
75,0,1,01,2,1,root,9.00E-04,0.7,Na,0.484853832,0.485,0.299391886,2.851351295,2.566216166
76,0,1,01,2,2,old leaf,0.06388,0.4,Na,1.727399451,1.727,1.541937505,0.362070485,23.12906258
77,0,1,01,2,2,young leaf,0.02182,0.5,Na,0.716426898,0.716,0.530964952,0.29200639,6.371579424
78,0,1,01,2,2,root,0.00432,0.7,Na,1.100393274,1.1,0.914931328,1.815339937,7.842268526
79,0,1,01,2,3,old leaf,0.09999,0.4,Na,2.090389366,2.09,1.90492742,0.28576769,28.5739113
80,0,1,01,2,3,young leaf,0.04808,0.5,Na,1.686345361,1.686,1.500883415,0.374596526,18.01060098
81,0,1,01,2,3,root,0.00432,0.7,Na,1.427887272,1.428,1.242425326,2.465129615,10.64935994
1,1,0,10,0,1,old leaf,0.10951,0.4,K,87.61030516,87.61,87.51737935,11.98758735,1312.76069
2,1,0,10,0,1,young leaf,0.026,0.5,K,67.35581419,67.36,67.26288838,31.04441002,807.1546606
3,1,0,10,0,1,root,0.0029,0.7,K,4.983286623,4.983,4.890360815,14.45426842,41.91737841
4,1,0,10,0,2,old leaf,0.04946,0.5,K,66.60089481,66.6,66.507969,16.13618334,798.095628
5,1,0,10,0,2,young leaf,0.01384,0.7,K,27.23112127,27.23,27.13819546,16.8073052,232.613104
6,1,0,10,0,2,root,8.70E-04,0.7,K,0.277616309,0.278,0.184690501,1.819610847,1.583061437
7,1,0,10,0,3,old leaf,0.06652,0.4,K,87.46629724,87.47,87.37337143,19.70235375,1310.600571
8,1,0,10,0,3,young leaf,0.04741,0.5,K,119.4850541,119.5,119.3921283,30.21947985,1432.70554
9,1,0,10,0,3,root,0.00169,0.7,K,2.796949661,2.797,2.704023853,13.71440669,23.17734731
10,1,0,10,1,1,old leaf,0.06685,0.4,K,75.21366645,75.21,75.12074064,16.85581316,1126.81111
11,1,0,10,1,1,young leaf,0.0075,0.7,K,18.7694513,18.77,18.67652549,21.34460056,160.0845042
12,1,0,10,1,1,root,0.00146,0.7,K,1.65768861,1.658,1.564762802,9.186474376,13.41225259
13,1,0,10,1,2,old leaf,0.01357,0.7,K,14.46999875,14.47,14.37707294,9.081212512,123.2320538
14,1,0,10,1,2,young leaf,0.00244,0.7,K,2.962221107,2.962,2.869295299,10.07949168,24.59395971
15,1,0,10,1,2,root,8.60E-04,0.7,K,0.279112333,0.279,0.186186525,1.855679651,1.5958845
16,1,0,10,1,3,old leaf,0.03447,0.5,K,78.21248987,78.21,78.11956406,27.19567069,937.4347687
17,1,0,10,1,3,young leaf,0.01089,0.7,K,32.06982974,32.07,31.97690393,25.16875555,274.087748
18,1,0,10,1,3,root,0.0102,0.7,K,4.035383729,4.035,3.942457921,3.31298985,33.79249647
19,1,0,10,2,1,old leaf,0.03178,0.5,K,47.06255836,47.06,46.96963255,17.73554407,563.6355906
20,1,0,10,2,1,young leaf,0.00796,0.7,K,25.573736,25.57,25.48081019,27.43805835,218.4069445
21,1,0,10,2,1,root,0.00145,0.7,K,0.665214047,0.665,0.572288239,3.382984664,4.905327763
22,1,0,10,2,2,old leaf,0.01486,0.7,K,19.22581172,19.23,19.13288591,11.03608109,163.996165
23,1,0,10,2,2,young leaf,0.00285,0.7,K,4.551212673,4.551,4.458286865,13.40838155,38.21388741
24,1,0,10,2,2,root,0.00329,0.7,K,0.74272545,0.743,0.649799642,1.692921343,5.569711217
25,1,0,10,2,3,old leaf,0.03215,0.5,K,72.83250429,72.83,72.73957848,27.15007595,872.8749418
26,1,0,10,2,3,young leaf,0.0097,0.7,K,30.71442691,30.71,30.6215011,27.05876386,262.4700094
27,1,0,10,2,3,root,0.0043,0.7,K,1.286258954,1.286,1.193333146,2.378737168,10.22856982
55,0,1,01,0,1,old leaf,0.01027,0.7,K,13.28787273,13.29,13.19494692,11.01261393,113.099545
56,0,1,01,0,1,young leaf,0.01377,0.7,K,26.39100508,26.39,26.29807927,16.36979724,225.412108
57,0,1,01,0,1,root,0.00161,0.7,K,0.98226904,0.982,0.889343232,4.734746577,7.622941989
58,0,1,01,0,2,old leaf,0.04048,0.5,K,40.90189842,40.9,40.80897261,12.09752153,489.7076713
59,0,1,01,0,2,young leaf,0.02221,0.5,K,20.46364949,20.46,20.37072368,11.00624422,244.4486842
60,0,1,01,0,2,root,0.00136,0.7,K,0.576018235,0.576,0.483092427,3.04470017,4.140792231
61,0,1,01,0,3,old leaf,0.06928,0.4,K,51.41162009,51.41,51.31869428,11.11114917,769.7804142
62,0,1,01,0,3,young leaf,0.02692,0.5,K,31.18197728,31.18,31.08905147,13.85841819,373.0686177
63,0,1,01,0,3,root,0.00205,0.7,K,0.999891758,1,0.90696595,3.792192125,7.773993857
64,0,1,01,1,1,old leaf,0.0158,0.7,K,27.68378221,27.68,27.5908564,14.96791487,236.4930549
65,0,1,01,1,1,young leaf,0.0042,0.7,K,6.404442253,6.404,6.311516445,12.88064581,54.09871239
66,0,1,01,1,1,root,0.00109,0.7,K,0.534953939,0.535,0.442028131,3.475974818,3.788812551
67,0,1,01,1,2,old leaf,0.02225,0.5,K,23.40693558,23.41,23.31400977,12.57384797,279.7681173
68,0,1,01,1,2,young leaf,0.01885,0.7,K,25.30705469,25.31,25.21412888,11.46531059,216.1211047
69,0,1,01,1,2,root,0.00414,0.7,K,1.170769433,1.171,1.077843625,2.2315603,9.238659643
70,0,1,01,1,3,old leaf,0.05336,0.5,K,40.03762649,40.04,39.94470068,8.98306612,479.3364082
71,0,1,01,1,3,young leaf,0.01974,0.7,K,28.38188121,28.38,28.2889554,12.28352384,242.4767606
72,0,1,01,1,3,root,0.00194,0.7,K,0.718054232,0.718,0.625128424,2.761981255,5.358243634
73,0,1,01,2,1,old leaf,0.01725,0.7,K,29.64866295,29.65,29.55573714,14.68608057,253.3348898
74,0,1,01,2,1,young leaf,0.01065,0.7,K,23.89515429,23.9,23.80222848,19.15672312,204.0191013
75,0,1,01,2,1,root,9.00E-04,0.7,K,0.271022535,0.271,0.178096727,1.696159305,1.526543374
76,0,1,01,2,2,old leaf,0.06388,0.4,K,50.94803393,50.95,50.85510812,11.94155638,762.8266218
77,0,1,01,2,2,young leaf,0.02182,0.5,K,18.7143799,18.71,18.62145409,10.24094634,223.4574491
78,0,1,01,2,2,root,0.00432,0.7,K,5.142560718,5.143,5.04963491,10.01911688,43.28258494
79,0,1,01,2,3,old leaf,0.09999,0.4,K,49.60523582,49.61,49.51231001,7.427589261,742.6846502
